Data Import Template,,,,,,,,,,,,,
Table:,Customer,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,
,,,,,,,,,,,,,
DocType:,Customer,,,,~,Allowed To Transact With,companies,~,Party Account,accounts,~,Sales Team,sales_team
Column Labels:,Full Name,Type,Customer Group,Territory,,Company,,,Company,Account,,Sales Person,
Column Name:,customer_name,customer_type,customer_group,territory,~,company,~,~,company,account,~,sales_person,~
Mandatory:,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes,
Type:,Data,Select,Link,Link,,Link,,,Link,Link,,Link,
Info:,,"One of: Company, Individual",Valid Customer Group,Valid Territory,,Valid Company,,,Valid Company,Valid Account,,Valid Sales Person,
Start entering data below this line,,,,,,,,,,,,,
,AAM INDIA MANUFACTURING CORPORATION PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ADITYA POLYMERS,Company,Commercial,MAHARASHTRA,,,,,,,,,
,AFROZ INDUSTRIES,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ALCO STEEL PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ANIMESH PACKAGING INDUSTRIES,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ARMACELL INDIA PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,AT & F INDIA FABRICATION  PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ATHARVA POLYMERS PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,AXLETECH INDIA PVT. LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,BOC (LINDE ) INDIA LIMITED - AURANGABAD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,BOC (LINDE ) INDIA LIMITED - CHAKAN,Company,Commercial,MAHARASHTRA,,,,,,,,,
